time,ax,ay,az,gx,gy,gz,mx,my,mz
836,0.28,-0.34,-10.38,-0.61,-0.34,-0.25,8.52,39.75,9.27
847,0.18,-0.09,-10.76,-0.37,-0.24,-0.13,8.52,39.75,9.27
858,0.18,-0.09,-10.76,-0.37,-0.24,-0.13,8.52,39.75,9.27
869,0.19,0.28,-10.46,-0.18,-0.12,-0.04,8.52,39.75,9.27
880,0.19,0.28,-10.46,-0.18,-0.12,-0.04,8.52,39.75,9.27
891,0.25,0.34,-10.26,-0.07,-0.05,-0.02,8.52,39.75,9.27
902,0.25,0.34,-10.26,-0.07,-0.05,-0.02,8.52,39.75,9.27
913,0.27,0.48,-10.43,-0.07,-0.00,-0.01,8.52,39.75,9.27
924,0.27,0.48,-10.43,-0.07,-0.00,-0.01,8.52,39.75,9.27
935,0.24,0.67,-10.39,-0.03,-0.02,0.00,8.52,39.75,9.27
946,0.24,0.67,-10.39,-0.03,-0.02,0.00,8.52,39.75,9.27
957,0.36,0.56,-10.48,-0.03,-0.01,-0.01,8.52,39.75,9.27
968,0.32,0.53,-10.53,0.02,-0.02,0.01,8.52,38.33,10.64
979,0.32,0.53,-10.53,0.02,-0.02,0.01,8.52,38.33,10.64
990,0.51,0.62,-10.04,-0.02,0.01,-0.03,8.52,38.33,10.64
1001,0.51,0.62,-10.04,-0.02,0.01,-0.03,8.52,38.33,10.64
1012,0.28,0.52,-10.62,-0.17,0.11,-0.04,8.52,38.33,10.64
1023,0.28,0.52,-10.62,-0.17,0.11,-0.04,8.52,38.33,10.64
1034,0.35,0.56,-10.37,-0.03,-0.01,-0.02,8.52,38.33,10.64
1045,0.35,0.56,-10.37,-0.03,-0.01,-0.02,8.52,38.33,10.64
1056,0.38,0.63,-10.26,-0.02,-0.01,-0.00,8.52,38.33,10.64
1067,0.38,0.63,-10.26,-0.02,-0.01,-0.00,8.52,38.33,10.64
1078,0.31,0.59,-10.42,-0.04,0.01,0.01,8.52,38.33,10.64
1089,0.34,0.61,-10.36,0.00,-0.02,0.00,8.70,38.51,9.44
1100,0.34,0.61,-10.36,0.00,-0.02,0.00,8.70,38.51,9.44
1111,0.36,0.66,-10.30,-0.01,-0.01,-0.01,8.70,38.51,9.44
1122,0.36,0.66,-10.30,-0.01,-0.01,-0.01,8.70,38.51,9.44
1133,0.35,0.59,-10.36,-0.06,0.02,-0.02,8.70,38.51,9.44
1144,0.35,0.59,-10.36,-0.06,0.02,-0.02,8.70,38.51,9.44
1155,0.37,0.64,-10.34,-0.05,0.01,-0.02,8.70,38.51,9.44
1166,0.37,0.64,-10.34,-0.05,0.01,-0.02,8.70,38.51,9.44
1177,0.36,0.63,-10.33,-0.05,0.01,-0.01,8.70,38.51,9.44
1188,0.36,0.66,-10.37,-0.05,0.01,-0.01,8.70,38.51,9.44
1199,0.36,0.66,-10.37,-0.05,0.01,-0.01,8.70,38.51,9.44
1210,-2.66,1.41,-18.46,0.07,-0.34,0.09,8.52,38.69,9.95
1221,-2.66,1.41,-18.46,0.07,-0.34,0.09,8.52,38.69,9.95
1232,0.16,1.86,-2.45,0.83,-2.53,0.15,8.52,38.69,9.95
1243,0.16,1.86,-2.45,0.83,-2.53,0.15,8.52,38.69,9.95
1254,-0.56,2.92,-14.02,-3.12,0.23,0.36,8.52,38.69,9.95
1265,-0.56,2.92,-14.02,-3.12,0.23,0.36,8.52,38.69,9.95
1276,-0.33,2.71,-8.32,-0.25,-0.03,0.74,8.52,38.69,9.95
1287,-0.33,2.71,-8.32,-0.25,-0.03,0.74,8.52,38.69,9.95
