time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,normAccel,normMag,normGyr,ax_filter,ay_filter,az_filter,gx_filter,gy_filter,gz_filter,mx_filter,my_filter,mz_filter,psi,theta
222.0,0.06,5.85,-8.05,0.72,0.77,-1.13,11.86,33.73,-20.67,-1.0,9.951311471358938,41.299169483174836,88.5437638972844,0.06,5.85,-8.05,2363.620572008456,2527.7608895090425,-3709.5711755132706,11.86,33.73,-20.67,0.0,-0.34545874780742736
234.0,-0.35,6.68,-7.47,0.73,0.56,-0.85,11.86,33.73,-20.67,-1.0,10.027252864069998,41.299169483174836,71.7685388117135,-0.145,6.265,-7.76,2380.0346037585145,2183.06622275781,-3249.9782865116267,11.86,33.73,-20.67,-5.519298343775345,0.832949605802952
246.0,-0.35,6.68,-7.47,0.73,0.56,-0.85,11.86,33.73,-20.67,-1.0,10.027252864069998,41.299169483174836,71.7685388117135,-0.2133333333333333,6.403333333333333,-7.663333333333333,2385.505947675201,2068.168000507399,-3096.780656844412,11.86,33.73,-20.67,-7.501421028549065,1.2237812516795543
258.0,-0.44,6.5,-7.49,0.73,0.56,-0.86,11.86,33.73,-20.67,-1.0,9.926917950703531,41.299169483174836,72.1585694963088,-0.26999999999999996,6.4275,-7.619999999999999,2388.241619633544,2010.7188893821935,-3028.388857885834,11.86,33.73,-20.67,-8.38040177620422,1.5514470317980766
271.0,-0.28,6.3,-7.68,0.73,0.78,-1.13,10.76,32.3,-22.06,-1.0,9.937343709462805,40.5673661950095,89.09816112355182,-0.27199999999999996,6.401999999999999,-7.632,2389.88302280855,2120.6929021075866,-3164.6253214113212,11.639999999999999,33.443999999999996,-20.948,-10.548254683414317,1.5640675973293696
283.0,-0.28,6.3,-7.68,0.73,0.78,-1.13,10.76,32.3,-22.06,-1.0,9.937343709462805,40.5673661950095,89.09816112355182,-0.2733333333333333,6.384999999999999,-7.64,2390.9772915918866,2194.0089105911825,-3255.449630428313,11.493333333333332,33.25333333333333,-21.133333333333336,-10.375683508198067,1.5724848732006507
295.0,-0.28,6.31,-7.69,0.72,0.97,-1.36,10.76,32.3,-22.06,-1.0,9.951411960119026,40.5673661950095,104.22321205736206,-0.2742857142857143,6.374285714285714,-7.647142857142856,2387.069188794254,2335.4822318654983,-3428.187774083693,11.388571428571428,33.11714285714286,-21.26571428571429,-10.254369514404642,1.5781800422130061
307.0,-0.28,6.31,-7.69,0.72,0.97,-1.36,10.76,32.3,-22.06,-1.0,9.951411960119026,40.5673661950095,104.22321205736206,-0.275,6.36625,-7.652499999999999,2384.138111696029,2441.587222821235,-3557.7413818252276,11.31,33.015,-21.365000000000002,-10.163732235475079,1.5824507191318844
320.0,-0.04,6.15,-7.76,0.73,1.01,-1.43,10.76,32.3,-22.06,-1.0,9.901600880665713,40.5673661950095,108.67938611672065,-0.2488888888888889,6.342222222222222,-7.6644444444444435,2385.505947675201,2538.703577342416,-3684.038237235401,11.24888888888889,32.93555555555556,-21.442222222222224,-9.66422313077403,1.4331487651994195
332.0,-0.25,6.26,-7.67,0.73,0.75,-1.07,10.76,32.3,-22.06,-1.0,9.903484235358786,40.5673661950095,85.75821281913069,-0.24900000000000003,6.334,-7.664999999999999,2386.6002164585384,2531.043695859055,-3666.894692963118,11.200000000000001,32.872,-21.504,-9.599239100322016,1.4344818105348622
344.0,-0.25,6.26,-7.67,0.73,0.75,-1.07,10.76,32.3,-22.06,-1.0,9.903484235358786,40.5673661950095,85.75821281913069,-0.2490909090909091,6.327272727272727,-7.665454545454545,2387.4955272812686,2524.7765200999415,-3652.868156740341,11.160000000000002,32.82,-21.55454545454546,-9.546138257235565,1.4355729592018491
356.0,-0.03,7.22,-8.28,0.78,0.77,-0.88,10.76,32.3,-22.06,-1.0,10.985795374027317,40.5673661950095,80.53471615221726,-0.23083333333333333,6.401666666666666,-7.716666666666666,2401.91997942526,2525.0252175507,-3589.201609346174,11.126666666666667,32.77666666666667,-21.596666666666668,-9.60666419454046,1.3188649136010469
369.0,-0.32,7.44,-8.54,1.78,0.92,-1.03,10.76,32.3,-22.06,-1.0,11.330825212666552,40.5673661950095,129.08346211174617,-0.23769230769230767,6.481538461538461,-7.779999999999999,2666.6488504710787,2563.1141886630157,-3573.2084502050907,11.098461538461539,32.74,-21.632307692307695,-9.857063509690587,1.3446647646409247
381.0,-0.32,7.44,-8.54,1.78,0.92,-1.03,10.76,32.3,-22.06,-1.0,11.330825212666552,40.5673661950095,129.08346211174617,-0.24357142857142855,6.549999999999999,-7.834285714285713,2893.559311367495,2595.7618781878577,-3559.5000280841628,11.074285714285713,32.70857142857143,-21.662857142857145,-10.06889806874618,1.36637271007136
393.0,-0.01,4.99,-7.52,2.78,1.02,-1.37,12.95,30.41,-22.68,-1.0,9.024998614958342,40.08557097011342,186.94323084915382,-0.22799999999999995,6.445999999999999,-7.813333333333332,3309.068800811838,2645.9419181094654,-3622.029672846291,11.199333333333332,32.55533333333334,-21.730666666666668,-19.209763685798666,1.2894733918310237
406.0,-0.01,4.99,-7.52,2.78,1.02,-1.37,12.95,30.41,-22.68,-1.0,9.024998614958342,40.08557097011342,186.94323084915382,-0.21437499999999995,6.354999999999999,-7.794999999999998,3672.639604075639,2689.8494530408725,-3676.743112013153,11.308749999999998,32.42125000000001,-21.790000000000003,-18.504301204087998,1.2211028687193846
