time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta
0.051000000000000004,-0.57,6.56,-7.57,-0.14,-0.03,0.02,2.24,-26.09,-57.05,-1.7019781143026016,3.256833736938546
0.10300000000000001,-0.57,6.58,-7.58,-0.14,-0.03,0.02,4.82,-25.57,-57.22,-0.3949583073658022,3.2534862806251255
0.154,-0.56,6.58,-7.59,-0.14,-0.03,0.02,4.82,-25.57,-57.22,0.03320203894568877,3.2325828384251167
0.20700000000000002,-0.57,6.56,-7.59,-0.14,-0.03,0.02,3.79,-26.26,-57.22,-0.01884854238045885,3.2374212834941147
0.257,-0.56,6.56,-7.59,-0.14,-0.03,0.02,3.79,-26.26,-57.22,-0.05514177469830841,3.2289387907211733
0.308,-0.57,6.56,-7.59,-0.14,-0.03,0.02,3.79,-26.26,-57.22,-0.07501767810267913,3.2327715148446003
0.361,-0.56,6.55,-7.59,-0.14,-0.03,0.02,4.99,-25.74,-57.05,0.0866459774387246,3.227676638562059
0.41200000000000003,-0.56,6.56,-7.58,-0.14,-0.03,0.02,4.99,-25.74,-57.05,0.2070149783131112,3.2238955275404777
0.462,-0.57,6.56,-7.6,-0.14,-0.03,0.02,3.62,-24.71,-58.38,0.1622959012495887,3.226741764433072
0.514,-0.56,6.56,-7.59,-0.14,-0.03,0.02,3.62,-24.71,-58.38,0.12364158529671561,3.2235678579412905
0.5650000000000001,-0.57,6.55,-7.59,-0.14,-0.03,0.02,3.62,-24.71,-58.38,0.09485216574714612,3.2263376817776077
0.616,-0.57,6.58,-7.56,-0.14,-0.03,0.02,2.41,-26.26,-58.22,-0.045129074801988155,3.228728058846869
0.668,-0.56,6.56,-7.59,-0.14,-0.03,0.02,2.41,-26.26,-58.22,-0.16390563822320464,3.2261335173073036
0.719,-0.58,6.58,-7.6,-0.14,-0.03,0.02,2.93,-25.4,-57.72,-0.2184353755840503,3.231569723255859
0.77,-1.37,8.53,-11.28,0.59,-0.15,0.22,2.93,-25.4,-57.72,-0.1348035359746213,3.4432888589053903
0.8220000000000001,-0.16,4.37,-9.69,2.29,0.5,-0.63,4.48,-19.35,-49.57,0.0,3.2854145855760635
0.873,-1.89,6.49,-5.47,0.27,0.26,-1.07,4.48,-19.35,-49.57,0.2656102727980362,3.750343535720802
0.923,-0.51,10.36,-17.04,-7.2,-0.8,-1.49,4.48,-19.35,-49.57,0.3375101694600483,3.518483256749235
0.976,0.48,8.09,-5.33,-7.23,0.11,0.04,9.3,-25.23,-60.55,0.39087939797436333,3.222092942493859
1.027,0.0,8.77,-5.39,-0.34,-0.13,0.07,9.3,-25.23,-60.55,0.48568681588907775,3.073587710420327
1.077,1.72,10.22,-8.94,1.52,-3.32,1.0,6.72,-34.04,-80.01,0.18284736740912688,2.4541552988324327
1.1300000000000001,1.77,9.52,14.38,6.28,-5.06,3.52,6.72,-34.04,-80.01,-0.30199900999401286,2.040129528227652
1.181,1.85,-9.38,-5.65,10.18,0.63,1.7,6.72,-34.04,-80.01,-0.27601914848684606,1.5798108765927594
1.231,0.39,8.87,-9.04,-1.85,0.06,-2.08,0.86,-19.87,-48.74,-0.47433370328136804,1.3971198599122516
1.284,0.42,2.55,-9.77,2.27,0.99,0.46,0.86,-19.87,-48.74,-0.5787862295443318,1.2452645518972076
1.335,0.88,2.9,-9.58,1.7,1.05,0.35,0.86,-19.87,-48.74,-0.7054261602889125,0.903483969311452
1.385,-1.11,3.66,-10.58,1.8,0.91,0.09,1.55,-13.65,-43.75,-0.6585007956335339,1.030811268445916
1.438,-0.5,-0.96,-7.92,1.77,1.31,0.59,1.55,-13.65,-43.75,-0.6409824696310618,1.0358966322669119
1.489,-1.19,0.55,-11.55,1.39,1.07,0.28,-2.41,-4.49,-40.92,-0.6017267407607843,1.1892127597478748
1.54,-1.81,-3.29,-6.96,0.73,0.94,0.24,-2.41,-4.49,-40.92,-0.4106534314503713,1.5345105148572316
1.591,-2.3,-0.98,-8.24,-3.9,0.38,-0.9,-6.89,-2.76,-42.25,-0.3178013559768526,1.9992588136191642
1.6420000000000001,-2.83,4.65,-7.43,-2.27,-0.11,-0.71,-6.89,-2.76,-42.25,-0.2988181489211421,2.589341663460985
1.693,-2.38,4.17,-6.28,-4.41,-0.53,-0.55,-6.89,-2.76,-42.25,-0.3482545350354357,3.086475591066744
1.744,-1.39,9.51,-12.42,-4.26,-1.02,-0.34,-5.17,-21.77,-59.88,-0.6685103131981841,3.215997104721154
1.795,-1.9,4.06,-4.2,-3.14,0.33,-0.09,-5.17,-21.77,-59.88,-0.7699816118476848,3.619370687557634
1.846,-1.67,15.62,-0.22,-7.66,-0.16,-1.8,0.86,-30.24,-89.32,-1.0641810711107302,3.919892918989831
1.897,-0.01,9.62,0.51,-3.98,0.05,0.02,0.86,-30.24,-89.32,-1.4012142826007496,3.8578384316496255
1.948,-0.38,11.82,2.75,-1.97,-0.52,-1.05,0.86,-30.24,-89.32,-1.7559928122128259,3.8967447222533025
2.0,-0.07,13.4,1.4,3.69,-1.29,1.21,4.99,-24.02,-109.95,-2.006294221147152,3.799737876479938
2.051,-2.05,8.58,-4.03,2.09,-2.53,1.62,4.99,-24.02,-109.95,-1.8897455038283912,4.085277411857589
2.101,-1.76,10.06,-4.33,-2.81,-0.42,1.72,-7.06,-28.85,-95.64,-2.35370411238856,4.523674349618673
2.154,0.19,15.94,-7.54,7.82,1.37,3.57,-7.06,-28.85,-95.64,-3.254493102795419,3.7926829722361504
2.205,-6.51,-3.72,4.52,12.22,3.69,3.41,-23.76,-16.24,-65.2,-3.426425490253779,6.094773353763841
2.255,-5.11,3.02,-7.89,2.97,1.43,0.33,-23.76,-16.24,-65.2,-3.5567657030840314,7.854577193893391
2.308,-7.35,3.43,-6.24,0.8,1.65,-0.77,-23.76,-16.24,-65.2,-3.303953947418736,10.23659120168442
2.359,-8.63,2.85,-1.38,-4.03,0.28,-1.55,-28.24,-10.37,-62.54,-2.541759858680126,14.118615439939035
2.41,-5.61,6.43,6.0,-11.43,-4.46,-1.03,-28.24,-10.37,-62.54,-1.8604255231220748,16.075816438694886
2.462,-3.06,13.02,-1.54,-11.18,-4.85,-3.77,-17.22,-23.5,-99.47,-4.094266203442142,16.34569017483146
2.513,1.8,8.16,3.24,-12.49,-4.52,-4.92,-17.22,-23.5,-99.47,-5.133024109843354,16.634236084563028
2.564,1.31,12.99,6.6,-16.42,3.45,-7.34,-17.22,-23.5,-99.47,-7.251700611965335,16.420054964279203
2.616,0.92,7.08,14.96,-9.31,0.66,-0.69,7.06,20.91,-131.57,-8.266048425568716,17.074934224706382
2.6670000000000003,2.59,-4.56,0.95,-0.14,-7.02,-2.16,7.06,20.91,-131.57,-8.171720831466962,17.064833297354525
2.718,-1.23,7.93,13.99,3.67,-1.62,-4.55,-14.12,23.5,-126.75,-10.328016452452756,17.07440170579119
2.77,-9.61,9.92,11.88,-1.62,-2.82,-0.94,-14.12,23.5,-126.75,-12.60949840205466,19.08145777044038
