time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
2.58,-0.33,-0.32,9.84,0.0,0.17,0.02,13.6,9.16,-112.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6310000000000002,-0.65,-0.85,9.58,-0.01,0.48,0.05,13.6,9.16,-112.61,9.85073093734673,113.79752941079168,9.807457675429658,0.0,0.5028846561165368,0.059162900719592564,-0.01703769230769231,-0.016521398601398604,0.508033006993007,0.0,0.0,0.0
2.682,-0.81,-0.75,9.63,-0.01,0.53,0.05,13.6,9.16,-112.61,9.639574679414025,113.79752941079168,27.65671490891021,-0.029581450359796282,1.9227942733867582,0.20707015251857397,-0.05059678321678322,-0.06040636363636364,1.0026423776223776,-0.0008796453308230232,-0.0008529894117071742,0.0262294244099956
2.733,-0.99,-0.84,9.16,-0.03,0.35,-0.0,15.5,8.98,-111.78,9.693064530890116,113.79752941079168,30.506976255085156,-0.059162900719592564,3.490611142455961,0.35497740431755537,-0.09241657342657345,-0.09912839160839163,1.499833216783217,-0.003491925404176244,-0.003971731948261529,0.07799521933297472
2.7840000000000003,-1.86,-1.41,8.9,0.01,0.32,0.02,15.5,8.98,-111.78,9.251556625779253,113.20626661099641,20.12705402167563,-0.1479072517989814,4.525961905048831,0.35497740431755537,-0.14352965034965037,-0.14249706293706296,1.9727582517482518,-0.00826333492591325,-0.009089668418504573,0.15543066436451664
2.837,-1.67,-1.38,9.17,0.03,0.28,0.04,16.19,8.98,-111.11,9.200961906235674,113.20626661099641,18.379357263413986,-0.11832580143918511,5.472568316562312,0.41414030503714794,-0.23956027972027977,-0.21529447552447556,2.4322596503496503,-0.015673680440119325,-0.01644670209447895,0.2572829313061764
2.8890000000000002,-1.36,-0.91,9.41,0.05,-0.33,-0.04,16.19,8.98,-111.11,9.422430684276748,112.64185989231534,16.296595770772193,-0.02958145035979627,6.300848926636608,0.5324661064763331,-0.3257813286713287,-0.28654300699300705,2.905700979020979,-0.02804202690987335,-0.027562220365788065,0.38285896626094196
2.94,-1.17,-0.69,9.59,0.02,-0.15,-0.02,15.5,8.98,-110.78,9.551219817384585,112.64185989231534,19.260247079186893,0.11832580143918513,5.324661064763331,0.41414030503714794,-0.39599727272727275,-0.33352573426573434,3.3915333566433565,-0.04486191187197419,-0.04235625547508437,0.5328784790449412
2.993,-1.38,-1.05,9.44,-0.01,0.27,0.04,15.5,8.98,-110.78,9.685716287399709,112.21897700478293,8.74582117100925,0.17748870215877768,4.880939309366386,0.35497740431755537,-0.4564036363636364,-0.3691500000000001,3.886659020979021,-0.06530700183383052,-0.05957597922392295,0.7079812117169546
3.044,-1.56,-0.68,9.49,-0.01,0.24,0.04,15.5,8.98,-110.78,9.597942487846028,112.21897700478293,15.649196583559046,0.1479072517989814,5.679638469080886,0.4733032057567405,-0.5276521678321678,-0.4233608391608393,4.37404027972028,-0.0888708343322412,-0.07863496139175513,0.9086469708210673
3.096,-1.52,-1.01,9.47,0.03,-0.06,0.0,18.25,8.98,-110.45,9.641374383354274,112.21897700478293,13.952434072795198,0.11832580143918511,6.3895932777159965,0.5916290071959256,-0.608193986013986,-0.45846881118881133,4.864003006993007,-0.11611318366863907,-0.10049281506675148,1.1344759175705417
3.149,-1.45,-0.71,9.47,0.02,-0.14,-0.0,18.25,8.98,-110.45,9.644241805346857,112.30719211163638,3.843517734452756,0.20707015251857397,6.212104575557219,0.5916290071959256,-0.6866706293706294,-0.5106144755244757,5.352933146853148,-0.1475138563871094,-0.12416327124162557,1.3856013315609568
3.2,-1.37,-0.91,9.51,0.01,-0.13,-0.0,15.67,9.5,-109.62,9.60663832982173,112.30719211163638,8.102846845413955,0.26623305323816654,5.797964270520071,0.5916290071959256,-0.7615332167832168,-0.5472713286713289,5.841863286713288,-0.18296622881118882,-0.15052597524720043,1.6619699009540811
3.251,-1.31,-1.05,9.52,0.01,-0.03,0.0,15.67,9.5,-109.62,9.651170913417708,111.1410963595375,7.470455672192939,0.2958145035979628,5.413405415842719,0.5916290071959256,-0.8322654545454546,-0.5942540559440561,6.332858601398603,-0.22228370950706638,-0.17878124951000057,1.9635816257499148
3.3040000000000003,-1.33,-0.64,9.53,0.01,0.03,0.01,15.67,9.5,-109.62,9.66690229597879,111.1410963595375,1.811851635761533,0.32539595395775905,5.324661064763331,0.5916290071959256,-0.8998999300699302,-0.6484648951048952,6.824370209790211,-0.2652530511218153,-0.209462212412343,2.290543129624921
3.355,-1.41,-0.43,9.52,-0.02,0.1,0.01,17.39,8.12,-109.95,9.643619652391937,111.1410963595375,1.9002860271582585,0.3549774043175553,5.413405415842719,0.6212104575557219,-0.9685669930069931,-0.6815076923076925,7.316398111888113,-0.31171431814074047,-0.24294204682184958,2.6428810684982156
3.406,-1.45,-1.42,9.43,-0.03,0.06,0.0,17.39,8.12,-109.95,9.633452133062166,111.61249482024851,5.871070317678312,0.29581450359796274,5.709219919440682,0.6507919079155182,-1.0413644055944058,-0.7037083216783219,7.807909720279722,-0.36172082240207354,-0.2781278600547705,3.0206220982889143
3.459,-1.42,-0.91,9.43,-0.01,-0.1,-0.01,15.5,8.98,-110.45,9.645921417884349,111.61249482024851,3.843517734452756,0.2070701525185739,5.8867086215994595,0.6507919079155182,-1.1162269930069932,-0.7770220279720281,8.294774685314687,-0.41548581125874134,-0.314459877809673,3.4237395630779015
3.5100000000000002,-1.27,-0.94,9.57,-0.02,-0.2,-0.02,15.5,8.98,-110.45,9.579634648565674,111.89322097428423,5.786590081396796,0.17748870215877763,5.590894118001497,0.6212104575557219,-1.1895406993006996,-0.8240047552447554,8.781639650349652,-0.4731159083872073,-0.354577036079026,3.8519935595931347
3.5620000000000003,-1.18,-0.88,9.53,0.0,-0.17,-0.01,16.01,8.12,-108.95,9.699556690900879,111.89322097428423,11.573180162793593,0.11832580143918506,4.999265110805571,0.5620475568361294,-1.2551100000000004,-0.8725363636363638,9.275732727272729,-0.5345311460301239,-0.39711988298792134,4.3053840878346135
3.615,-1.15,-0.89,9.54,0.01,-0.02,0.0,16.01,8.12,-108.95,9.643013014613222,110.41900651608853,9.757119664652095,0.11832580143918506,4.496380454689034,0.5324661064763331,-1.3160326573426577,-0.9179702097902099,9.767760629370631,-0.5993316854007532,-0.4421683862937065,4.78428433066996
3.666,-1.16,-0.8,9.58,0.01,0.02,0.01,16.01,8.12,-108.95,9.650191707940314,110.41900651608853,1.2811725781509187,0.14790725179898134,4.437217553969441,0.5324661064763331,-1.375406433566434,-0.9639203496503498,10.260304825174828,-0.6672776232270528,-0.4895626104816863,5.288587664422711
3.718,-1.24,-0.76,9.52,-0.01,0.18,0.03,16.36,9.85,-111.28,9.68307802302553,110.41900651608853,1.403454242220617,0.17748870215877763,4.496380454689034,0.5620475568361294,-1.435296503496504,-1.0052238461538463,10.754914195804199,-0.7382889917516751,-0.5393292114709768,5.818320745011983
