time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normMag,normGyr,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
2.576,0.23,-0.89,9.63,0.01,0.01,0.0,12.4,7.26,-117.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.626,0.26,-0.87,9.67,-0.01,-0.01,0.0,12.57,7.08,-116.94,9.67377382410815,117.97829291865516,0.8102846845413955,0.029301201388793992,0.029301201388793992,0.0,0.011762256097560977,-0.04551481707317073,0.49248054878048786,0.0,0.0,0.0
2.677,0.28,-0.91,9.66,-0.01,-0.01,0.0,12.57,7.08,-116.94,9.71253828821282,117.8265458205408,0.8102846845413955,0.0,0.0,0.0,0.025058719512195127,-0.09000682926829269,0.9870067073170732,0.000601524645672219,-0.002327638846296847,0.02518557538184117
2.728,0.3,-0.91,9.62,-0.0,-0.0,0.0,13.43,6.22,-118.43,9.706806890012802,117.8265458205408,0.8102846845413955,-0.029301201388793992,-0.029301201388793992,0.0,0.039377987804878056,-0.1365444512195122,1.4810214634146341,0.0018830336734086857,-0.006930610047962523,0.07566133912737955
2.778,0.31,-0.9,9.57,0.0,0.0,0.0,13.43,6.22,-118.43,9.667600529604023,119.35123878703564,0.0,-0.029301201388793992,-0.029301201388793992,0.0,0.05472006097560976,-0.18308207317073172,1.9729906097560976,0.003896833574137419,-0.013913526586853065,0.15140113799115112
2.83,0.3,-0.91,9.61,0.0,0.01,0.0,13.43,6.22,-118.43,9.617224131733646,119.35123878703564,0.0,-0.029301201388793992,-0.029301201388793992,0.0,0.07057353658536586,-0.22910829268292685,2.462402743902439,0.006695230838786438,-0.023276388462968475,0.2523003589912999
2.88,0.28,-0.89,9.62,0.0,0.01,0.0,12.91,7.78,-116.94,9.657649817631617,119.35123878703564,0.5729577951308232,-0.029301201388793992,0.0,0.0,0.08591560975609756,-0.27564591463414634,2.953860487804878,0.010304378712819752,-0.03499304243084474,0.3782282359005057
2.931,0.27,-0.9,9.63,-0.0,-0.0,0.0,12.91,7.78,-116.94,9.6651383849379,117.90742173417244,0.5729577951308232,-0.029301201388793992,0.029301201388793992,0.0,0.10023487804878049,-0.32116073170731707,3.4458296341463415,0.014698123950773353,-0.04908964173594587,0.5292893817006247
2.983,0.31,-0.91,9.59,-0.0,-0.01,-0.0,13.26,7.43,-117.93,9.67573253040823,117.90742173417244,0.0,-0.029301201388793992,0.029301201388793992,0.0,0.11404274390243903,-0.36718695121951217,3.938310182926829,0.01982416006171922,-0.06551387988734385,0.7055099496371209
3.0340000000000003,0.3,-0.91,9.58,-0.0,-0.0,0.0,13.26,7.43,-117.93,9.638065158526373,118.90549777028815,0.5729577951308232,-0.029301201388793992,0.0,0.0,0.12989621951219513,-0.4137245731707317,4.42874512195122,0.025656333800193346,-0.08429191013050269,0.9069160929554582
3.085,0.29,-0.9,9.6,0.0,0.0,0.0,13.26,7.43,-117.93,9.627798294521961,118.90549777028815,0.0,-0.029301201388793992,0.0,0.0,0.14523829268292685,-0.4602621951219512,4.9186686585365855,0.03229925814805176,-0.1054498857108864,1.1334031986737807
