time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr,ax_pin,ay_pin,az_pin
0.223,-0.66,6.36,-7.88,-0.05,0.18,-0.02,-56.0,2.0,22.0,-2.166850131840256,3.729044952223816,0.0,0.0,0.0,-0.4600743358338404,6.365452413018099,-7.8669923653297475
0.235,-0.67,6.34,-7.9,-0.05,0.18,-0.02,-56.0,0.0,20.0,-0.8193208911558841,3.7566558155510847,10.147886479459652,60.19966777316965,10.7648996351761,-0.4702627644164118,6.3502487424314475,-7.886896190807148
0.247,-0.67,6.34,-7.9,-0.05,0.18,-0.02,-56.0,0.0,20.0,-0.3666676854040164,3.7658556103773577,10.151576232290235,59.464274989274024,10.7648996351761,-0.47035186632091086,6.351858445026922,-7.8868641466354905
0.259,-0.67,6.34,-7.91,-0.05,0.18,-0.02,-56.0,0.0,20.0,-0.13740509105198814,3.7697315679589134,10.151576232290235,59.464274989274024,10.7648996351761,-0.47040177140935335,6.352670719927295,-7.896850646234664
0.271,-0.68,6.35,-7.89,-0.05,0.18,-0.02,-56.0,0.0,20.0,-0.005184349678567682,3.784011664765288,10.1593602160766,59.464274989274024,10.7648996351761,-0.4804348218876625,6.363181035050063,-7.8768009075540375
0.28300000000000003,-0.68,6.35,-7.89,-0.05,0.18,-0.02,-56.0,0.0,20.0,0.08303797633745946,3.793532257667536,10.150714260582848,59.464274989274024,10.7648996351761,-0.48045759826464096,6.363521461078026,-7.87676774704863
0.295,-0.63,6.36,-7.86,-0.05,0.18,-0.02,-56.0,0.0,20.0,0.13863118851702078,3.7610109555188416,10.150714260582848,59.464274989274024,10.7648996351761,-0.43046305927526884,6.37360181187251,-7.846881021203561
0.306,-0.63,6.36,-7.86,-0.05,0.18,-0.02,-56.0,0.0,20.0,0.1803548663514314,3.736606482355072,10.130454086564926,59.464274989274024,10.7648996351761,-0.4304671799080624,6.373662126707013,-7.846966026607162
0.319,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.0,0.0,20.0,0.2170273523815528,3.7303355894714088,10.130454086564926,59.464274989274024,10.7648996351761,-0.45047445722876744,6.353767998469097,-7.856987869697624
0.33,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.0,0.0,20.0,0.2463744920544272,3.72531693238561,10.12694425777095,59.464274989274024,10.7648996351761,-0.4504803212744274,6.353852718189738,-7.857005351049481
0.342,-0.67,6.35,-7.89,-0.05,0.18,-0.02,-56.0,0.0,20.0,0.2714659337915929,3.7307298669567217,10.12694425777095,59.464274989274024,10.7648996351761,-0.4704877247633109,6.3639589408580886,-7.8769864963258005
0.354,-0.66,6.35,-7.87,-0.05,0.18,-0.02,-56.0,0.0,20.0,0.2906259504247341,3.7310202570403135,10.150049260964202,59.464274989274024,10.7648996351761,-0.46049247495178813,6.364026669210369,-7.856985484821421
0.366,-0.66,6.35,-7.87,-0.05,0.18,-0.02,-56.0,0.0,20.0,0.3068408307067672,3.73126598740582,10.133854153282453,59.464274989274024,10.7648996351761,-0.46049651293285443,6.36408398551722,-7.856984628878746
