time,ax,ay,az,gx,gy,gz,mx,my,mz
224.00,-0.44,6.21,-8.00,0.08,0.29,0.52,5.00,-33.00,0.00
236.00,-0.45,6.19,-7.99,0.08,0.29,0.52,5.00,-33.00,0.00
247.00,-0.45,6.19,-7.99,0.08,0.29,0.52,5.00,-33.00,0.00
258.00,-0.45,6.21,-8.01,0.08,0.29,0.52,5.00,-33.00,0.00
271.00,-0.44,6.19,-7.99,0.08,0.29,0.52,5.00,-33.00,0.00
282.00,-0.44,6.19,-7.99,0.08,0.29,0.52,5.00,-33.00,0.00
293.00,-0.46,6.20,-8.01,0.08,0.29,0.51,5.00,-33.00,0.00
305.00,-0.46,6.20,-8.01,0.08,0.29,0.51,5.00,-33.00,0.00
317.00,-0.44,6.20,-8.02,0.08,0.29,0.51,3.00,-35.00,-2.00
330.00,-0.45,6.21,-8.01,0.08,0.29,0.51,3.00,-35.00,-2.00
341.00,-0.45,6.21,-8.01,0.08,0.29,0.51,3.00,-35.00,-2.00
353.00,-0.44,6.21,-8.02,0.08,0.29,0.51,3.00,-35.00,-2.00
365.00,-0.44,6.21,-8.02,0.08,0.29,0.51,3.00,-35.00,-2.00
378.00,-0.44,6.21,-8.02,0.08,0.29,0.51,3.00,-35.00,-2.00
389.00,-0.44,6.21,-8.02,0.08,0.29,0.51,3.00,-35.00,-2.00
401.00,-0.44,6.20,-8.00,0.08,0.29,0.51,3.00,-35.00,-2.00
413.00,-0.43,6.21,-7.99,0.08,0.29,0.51,3.00,-35.00,-2.00
425.00,-0.43,6.21,-7.99,0.08,0.29,0.51,3.00,-35.00,-2.00
438.00,-0.45,6.21,-7.98,0.08,0.29,0.51,3.00,-32.00,0.00
449.00,-0.45,6.21,-7.98,0.08,0.29,0.51,3.00,-32.00,0.00
460.00,-0.46,6.21,-8.01,0.08,0.29,0.51,3.00,-32.00,0.00
472.00,-0.47,6.21,-7.99,0.08,0.29,0.52,3.00,-32.00,0.00
484.00,-0.47,6.21,-7.99,0.08,0.29,0.52,3.00,-32.00,0.00
495.00,-0.44,6.19,-8.00,0.09,0.29,0.52,3.00,-32.00,0.00
507.00,-0.44,6.19,-8.00,0.09,0.29,0.52,3.00,-32.00,0.00
519.00,-0.45,6.20,-8.02,0.08,0.29,0.52,3.00,-32.00,0.00
531.00,-0.45,6.20,-8.00,0.08,0.29,0.51,3.00,-32.00,0.00
544.00,-0.45,6.20,-8.00,0.08,0.29,0.51,3.00,-32.00,0.00
555.00,-0.45,6.21,-8.00,0.08,0.29,0.51,8.00,-37.00,-2.00
567.00,-0.45,6.21,-8.00,0.08,0.29,0.51,8.00,-37.00,-2.00
579.00,-0.44,6.21,-8.02,0.08,0.29,0.51,8.00,-37.00,-2.00
591.00,-0.46,6.20,-8.00,0.08,0.29,0.51,8.00,-37.00,-2.00
603.00,-0.46,6.20,-8.00,0.08,0.29,0.51,8.00,-37.00,-2.00
614.00,-0.45,6.20,-7.99,0.08,0.29,0.51,8.00,-37.00,-2.00
625.00,-0.45,6.20,-7.99,0.08,0.29,0.51,8.00,-37.00,-2.00
636.00,-0.45,6.21,-8.00,0.08,0.29,0.51,8.00,-37.00,-2.00
649.00,-0.45,6.21,-8.00,0.08,0.29,0.51,8.00,-37.00,-2.00
661.00,-0.43,6.21,-8.00,0.08,0.29,0.52,8.00,-37.00,-2.00
673.00,-0.45,6.20,-8.01,0.08,0.29,0.51,8.00,-37.00,-2.00
685.00,-0.45,6.20,-8.01,0.08,0.29,0.51,8.00,-37.00,-2.00
697.00,-0.46,6.21,-8.00,0.08,0.29,0.51,5.00,-33.00,-2.00
709.00,-0.46,6.21,-8.00,0.08,0.29,0.51,5.00,-33.00,-2.00
720.00,-0.45,6.20,-8.02,0.09,0.29,0.51,5.00,-33.00,-2.00
732.00,-0.44,6.20,-8.01,0.08,0.29,0.51,5.00,-33.00,-2.00
745.00,-0.44,6.20,-8.01,0.08,0.29,0.51,5.00,-33.00,-2.00
757.00,-0.45,6.21,-7.99,0.08,0.29,0.51,5.00,-33.00,-2.00
769.00,-0.45,6.21,-7.99,0.08,0.29,0.51,5.00,-33.00,-2.00
781.00,-0.46,6.20,-8.00,0.08,0.29,0.52,5.00,-33.00,-2.00
793.00,-0.45,6.22,-8.00,0.08,0.29,0.52,5.00,-33.00,-2.00
806.00,-0.45,6.22,-8.00,0.08,0.29,0.52,5.00,-33.00,-2.00
817.00,-0.44,6.22,-8.01,0.08,0.29,0.52,5.00,-35.00,0.00
829.00,-0.44,6.22,-8.01,0.08,0.29,0.52,5.00,-35.00,0.00
840.00,-0.44,6.22,-8.00,0.08,0.29,0.51,5.00,-35.00,0.00
853.00,-0.44,6.20,-8.02,0.09,0.29,0.52,5.00,-35.00,0.00
865.00,-0.44,6.20,-8.02,0.09,0.29,0.52,5.00,-35.00,0.00
