time,ax,ay,az,gx,gy,gz,mx,my,mz
1758.00,-0.65,6.35,-7.88,-0.05,0.18,-0.02,-54.00,1.00,38.00
1769.00,-0.65,6.35,-7.87,-0.05,0.18,-0.02,-54.00,1.00,38.00
1780.00,-0.65,6.35,-7.87,-0.05,0.18,-0.02,-54.00,1.00,38.00
1792.00,-0.65,6.35,-7.87,-0.05,0.18,-0.02,-54.00,1.00,38.00
1806.00,-0.65,6.35,-7.87,-0.05,0.18,-0.02,-54.00,1.00,38.00
1817.00,-0.65,6.35,-7.89,-0.05,0.18,-0.02,-56.00,1.00,38.00
1829.00,-0.65,6.33,-7.90,-0.05,0.18,-0.02,-56.00,1.00,38.00
1840.00,-0.65,6.33,-7.90,-0.05,0.18,-0.02,-56.00,1.00,38.00
1852.00,-0.63,6.35,-7.88,-0.05,0.18,-0.02,-56.00,1.00,38.00
1864.00,-0.63,6.35,-7.88,-0.05,0.18,-0.02,-56.00,1.00,38.00
1876.00,-0.64,6.36,-7.88,-0.05,0.18,-0.02,-56.00,1.00,38.00
1888.00,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.00,1.00,38.00
1900.00,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.00,1.00,38.00
1914.00,-0.66,6.34,-7.90,-0.05,0.18,-0.02,-56.00,1.00,38.00
1926.00,-0.66,6.34,-7.90,-0.05,0.18,-0.02,-56.00,1.00,38.00
1937.00,-0.65,6.35,-7.88,-0.05,0.18,-0.02,-56.00,1.00,38.00
1949.00,-0.64,6.36,-7.91,-0.05,0.18,-0.02,-56.00,1.00,36.00
1962.00,-0.64,6.36,-7.91,-0.05,0.18,-0.02,-56.00,1.00,36.00
1974.00,-0.64,6.35,-7.90,-0.05,0.18,-0.02,-56.00,1.00,36.00
1986.00,-0.64,6.35,-7.90,-0.05,0.18,-0.02,-56.00,1.00,36.00
1997.00,-0.64,6.35,-7.87,-0.05,0.18,-0.02,-56.00,1.00,36.00
2011.00,-0.64,6.36,-7.86,-0.05,0.18,-0.02,-56.00,1.00,36.00
2022.00,-0.64,6.36,-7.86,-0.05,0.18,-0.02,-56.00,1.00,36.00
