time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr,ax_pin,ay_pin,az_pin
0.22399999999999998,-0.44,6.21,-8.0,0.08,0.29,0.52,5.0,-33.0,0.0,2.5087990378198546,2.4877376981607,0.0,0.0,0.0,-0.24076000711357595,6.227419105448263,-7.991318885495137
0.236,-0.45,6.19,-7.99,0.08,0.29,0.52,5.0,-33.0,0.0,2.483199302084047,2.518474890301235,10.13694727223142,33.376638536557266,34.42041271860694,-0.2507615698078218,6.207436970337663,-7.981211694828376
0.247,-0.45,6.19,-7.99,0.08,0.29,0.52,5.0,-33.0,0.0,2.4746648329300402,2.5287337863921384,10.117247649435098,33.376638536557266,34.42041271860694,-0.2507620946972959,6.207442966794406,-7.9811759192555645
0.258,-0.45,6.21,-8.01,0.08,0.29,0.52,5.0,-33.0,0.0,2.4721192404602204,2.5321114323809155,10.117247649435098,33.376638536557266,34.42041271860694,-0.2507623480263497,6.227445860140062,-8.001164140543269
0.271,-0.44,6.19,-7.99,0.08,0.29,0.52,5.0,-33.0,0.0,2.4778516607343324,2.5242355020643714,10.145279690575316,33.376638536557266,34.42041271860694,-0.2407616954933336,6.207438406386734,-7.981191605966931
0.28200000000000003,-0.44,6.19,-7.99,0.08,0.29,0.52,5.0,-33.0,0.0,2.481673788905379,2.518982737097588,10.116807796928832,33.376638536557266,34.42041271860694,-0.24076126013025018,6.207433431535822,-7.981209923821245
0.293,-0.46,6.2,-8.01,0.08,0.29,0.51,5.0,-33.0,0.0,2.4723970652129723,2.5306008658717616,10.116807796928832,33.376638536557266,34.42041271860694,-0.26076197271776214,6.217441573457754,-8.001169408269835
0.305,-0.46,6.2,-8.01,0.08,0.29,0.51,5.0,-33.0,0.0,2.465443787639859,2.5393113196243746,10.139610446166065,33.376638536557266,33.92568210536256,-0.26076250771852716,6.217447683782957,-8.00113903280423
0.317,-0.44,6.2,-8.02,0.08,0.29,0.51,3.0,-35.0,-2.0,1.898330142439064,2.533307825352253,10.139610446166065,33.376638536557266,33.92568210536256,-0.24059795260083086,6.2154539151356385,-8.011159968423462
0.33,-0.45,6.21,-8.01,0.08,0.29,0.51,3.0,-35.0,-2.0,1.4493110916286225,2.5342005112653254,10.146625054667194,35.18522417151837,33.92568210536256,-0.2504831833502587,6.2238938790103235,-8.001156855408201
0.341,-0.45,6.21,-8.01,0.08,0.29,0.51,3.0,-35.0,-2.0,1.08740110272904,2.534930696099181,10.145279690575316,35.18522417151837,33.92568210536256,-0.25039956416529163,6.222635901811683,-8.001154309075755
0.353,-0.44,6.21,-8.02,0.08,0.29,0.51,3.0,-35.0,-2.0,0.792966299068663,2.530667837367403,10.145279690575316,35.18522417151837,33.92568210536256,-0.2403364026212864,6.2215951663114835,-8.0111691747232
