time,ax,ay,az,gx,gy,gz,mx,my,mz,psi,theta,normAccel,normMag,normGyr,ax_pin,ay_pin,az_pin
0.002,-0.62,6.36,-7.88,-0.05,0.18,-0.02,-56.0,0.0,39.0,1.1323535998146723,3.5036232836682046,0.0,0.0,0.0,-0.42065433523147855,6.376164960191608,-7.867777668061911
0.013999999999999999,-0.65,6.33,-7.89,-0.05,0.18,-0.02,-56.0,0.0,39.0,1.184949761952971,3.590121146766478,10.145363473035356,68.24221567329127,10.7648996351761,-0.45069416545707486,6.346648853328326,-7.877476311937969
0.026,-0.65,6.35,-7.9,-0.05,0.18,-0.02,-56.0,0.0,39.0,1.194080523700417,3.616554299849071,10.136246839930447,68.24221567329127,10.7648996351761,-0.45070453791706244,6.3667725607212615,-7.887384225237864
0.266,-0.66,6.35,-7.88,-0.05,0.18,-0.02,-52.0,1.0,38.0,0.7925527045928241,3.6452445283817236,10.156524996277023,68.24221567329127,10.7648996351761,-0.46059961504047087,6.365475350658113,-7.867284278473297
0.27699999999999997,-0.66,6.35,-7.88,-0.05,0.18,-0.02,-52.0,1.0,38.0,0.5459374140621721,3.662461581622253,10.141622158215123,64.41273166075166,10.7648996351761,-0.4605392538975429,6.364676878559528,-7.867224301784959
0.289,-0.63,6.36,-7.88,-0.05,0.18,-0.02,-52.0,1.0,38.0,0.3707991733225528,3.6453808595880304,10.141622158215123,64.41273166075166,10.7648996351761,-0.430491137676993,6.374007635581334,-7.8672838035504435
0.301,-0.63,6.36,-7.88,-0.05,0.18,-0.02,-52.0,1.0,38.0,0.2444326021256952,3.633180825166377,10.145979499289359,64.41273166075166,10.7648996351761,-0.4304578444850879,6.373525094175741,-7.867326303826985
0.313,-0.65,6.33,-7.89,-0.05,0.18,-0.02,-54.0,1.0,39.0,0.19141613788861195,3.6386161715969214,10.145979499289359,64.41273166075166,10.7648996351761,-0.4504466814166018,6.343359380313203,-7.877307369077648
0.326,-0.65,6.34,-7.92,-0.05,0.18,-0.02,-54.0,1.0,39.0,0.15322509710344864,3.6416626088263233,10.136246839930447,66.61831579978588,10.7648996351761,-0.45043852446014543,6.353236973987888,-7.907296756459924
0.337,-0.65,6.34,-7.92,-0.05,0.18,-0.02,-54.0,1.0,39.0,0.12272539376936532,3.6440984350445262,10.16584969395082,66.61831579978588,10.7648996351761,-0.4504320648356295,6.353139225785014,-7.907288271002374
0.34900000000000003,-0.63,6.34,-7.88,-0.05,0.18,-0.02,-54.0,1.0,39.0,0.0903180536394236,3.636862189379855,10.16584969395082,66.61831579978588,10.7648996351761,-0.43042302143086797,6.353001139381462,-7.867313479294585
0.361,-0.63,6.34,-7.88,-0.05,0.18,-0.02,-54.0,1.0,39.0,0.06333661276796153,3.630830531291366,10.133454494889687,66.61831579978588,10.7648996351761,-0.4304155634691912,6.352886143514627,-7.867334491422386
0.375,-0.66,6.33,-7.87,-0.05,0.18,-0.02,-54.0,1.0,39.0,0.04317571231665216,3.639120684758538,10.133454494889687,66.61831579978588,10.7648996351761,-0.4604128979549411,6.342844792612388,-7.857305611545004
0.387,-0.65,6.33,-7.88,-0.05,0.18,-0.02,-54.0,1.0,39.0,0.02632226828956757,3.64200219629744,10.121333904184764,66.61831579978588,10.7648996351761,-0.45040977160664675,6.342796121673737,-7.8672955734697725
0.39799999999999996,-0.65,6.33,-7.88,-0.05,0.18,-0.02,-54.0,1.0,39.0,0.011726745814251578,3.6445000042100446,10.128464839253775,66.61831579978588,10.7648996351761,-0.4504070742192666,6.342753978919799,-7.867286872096035
0.41,-0.64,6.34,-7.91,-0.05,0.18,-0.02,-54.0,1.0,39.0,0.0,3.6424967916143487,10.128464839253775,66.61831579978588,10.7648996351761,-0.4404040236760238,6.35270614950639,-7.89729385049361
0.42200000000000004,-0.64,6.34,-7.91,-0.05,0.18,-0.02,-54.0,1.0,39.0,-0.01034215066756013,3.64072954174921,10.157425855008738,66.61831579978588,10.7648996351761,-0.44040134270301123,6.3526639648309375,-7.897300006903585
0.434,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.0,1.0,39.0,-0.0232750378968657,3.6394998246748713,10.157425855008738,66.61831579978588,10.7648996351761,-0.44039821847033667,6.36261462683493,-7.867304290765879
0.446,-0.65,6.33,-7.91,-0.05,0.18,-0.02,-54.0,0.0,36.0,0.08814672135439887,3.6411616167490446,10.140340230978444,66.61831579978588,10.7648996351761,-0.4504235044603082,6.343008552113721,-7.897298501721514
0.45799999999999996,-0.65,6.33,-7.91,-0.05,0.18,-0.02,-54.0,0.0,36.0,0.18857003347267445,3.6426570621735688,10.151822496478156,64.89992295835181,10.7648996351761,-0.4504469600425105,6.343363541586144,-7.897293292174025
0.471,-0.63,6.35,-7.9,-0.05,0.18,-0.02,-54.0,0.0,36.0,0.2759360486907244,3.638561068475098,10.151822496478156,64.89992295835181,10.7648996351761,-0.43046659249882957,6.363653544996515,-7.8873075610361
0.483,-0.63,6.35,-7.9,-0.05,0.18,-0.02,-54.0,0.0,36.0,0.3554703355976055,3.6348378049491856,10.155264644508287,64.89992295835181,10.7648996351761,-0.4304848328731294,6.363917545988316,-7.887320531506312
0.495,-0.65,6.33,-7.87,-0.05,0.18,-0.02,-54.0,0.0,36.0,0.4287576743637165,3.636898767464857,10.155264644508287,64.89992295835181,10.7648996351761,-0.4505033080209786,6.344179911474599,-7.857313351870119
0.505,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.0,0.0,36.0,0.49456241643732,3.6361361178683462,10.1206867355926,64.89992295835181,10.7648996351761,-0.4405195335773997,6.364406370667932,-7.867316008659198
0.517,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.0,0.0,36.0,0.5551669043633057,3.635434449020892,10.140340230978444,64.89992295835181,10.7648996351761,-0.4405347044790746,6.364614919868062,-7.867318453015889
0.53,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.0,0.0,36.0,0.5894700849515264,3.6400338483962713,10.140340230978444,64.89992295835181,10.7648996351761,-0.44054467366682404,6.364750349057777,-7.867302430431485
0.542,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-54.0,0.0,36.0,0.6196942388050511,3.637711136618876,10.140340230978444,64.89992295835181,10.7648996351761,-0.4405518803235611,6.3648474764701914,-7.8673105218789665
0.5529999999999999,-0.64,6.33,-7.88,-0.05,0.18,-0.02,-54.0,0.0,36.0,0.6526604044253839,3.6358592224476785,10.140340230978444,64.89992295835181,10.7648996351761,-0.44055997259636803,6.344955783805556,-7.867316973260971
0.5650000000000001,-0.65,6.34,-7.9,-0.05,0.18,-0.02,-54.0,1.0,38.0,0.6844455381340786,3.6334706683651055,10.127828000119274,64.89992295835181,10.7648996351761,-0.4505676721667878,6.355058107949744,-7.887325294116926
0.5690000000000001,-0.65,6.34,-7.9,-0.05,0.18,-0.02,-54.0,1.0,38.0,0.7161556985782958,3.631082254268634,10.150275858320304,66.03786792439622,10.7648996351761,-0.4505754044346746,6.355160167664191,-7.887333614507245
0.649,-0.63,6.35,-7.88,-0.05,0.18,-0.02,-54.0,1.0,38.0,0.7469321861302687,3.631171891044104,10.150275858320304,66.03786792439622,10.7648996351761,-0.4305836003894776,6.365267598579227,-7.867333302244011
0.727,-0.64,6.36,-7.87,-0.05,0.18,-0.02,-52.0,0.0,38.0,0.7743433420496237,3.633538459908891,10.139713999911438,66.03786792439622,10.7648996351761,-0.44059156218739737,6.375371237072448,-7.857325057955475
0.8059999999999999,-0.63,6.34,-7.9,-0.05,0.18,-0.02,-56.0,1.0,38.0,0.8242661141869745,3.628827349696792,10.138841156660854,64.40496875241847,10.7648996351761,-0.43060375359438907,6.355528583945515,-7.88734146981778
0.8959999999999999,-0.64,6.34,-7.87,-0.05,0.18,-0.02,-56.0,1.0,38.0,0.8715728817190469,3.627129506223042,10.149014730504634,67.68308503607086,10.7648996351761,-0.44061617792242014,6.355687303583981,-7.857347384532341
0.907,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.0,1.0,38.0,0.9191610539098259,3.627686694058824,10.126307323007733,67.68308503607086,10.7648996351761,-0.450629430276483,6.35585483926504,-7.8573454434764445
0.9179999999999999,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.0,1.0,38.0,0.9698532459918796,3.6323094819460517,10.12694425777095,67.68308503607086,10.7648996351761,-0.4506448299000948,6.356047309881655,-7.857329339277137
