time,ax,ay,az,gx,gy,gz,mx,my,mz
223.00,-0.66,6.36,-7.88,-0.05,0.18,-0.02,-56.00,2.00,22.00
235.00,-0.67,6.34,-7.90,-0.05,0.18,-0.02,-56.00,0.00,20.00
247.00,-0.67,6.34,-7.90,-0.05,0.18,-0.02,-56.00,0.00,20.00
259.00,-0.67,6.34,-7.91,-0.05,0.18,-0.02,-56.00,0.00,20.00
271.00,-0.68,6.35,-7.89,-0.05,0.18,-0.02,-56.00,0.00,20.00
283.00,-0.68,6.35,-7.89,-0.05,0.18,-0.02,-56.00,0.00,20.00
295.00,-0.63,6.36,-7.86,-0.05,0.18,-0.02,-56.00,0.00,20.00
306.00,-0.63,6.36,-7.86,-0.05,0.18,-0.02,-56.00,0.00,20.00
319.00,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.00,0.00,20.00
330.00,-0.65,6.34,-7.87,-0.05,0.18,-0.02,-56.00,0.00,20.00
342.00,-0.67,6.35,-7.89,-0.05,0.18,-0.02,-56.00,0.00,20.00
354.00,-0.66,6.35,-7.87,-0.05,0.18,-0.02,-56.00,0.00,20.00
366.00,-0.66,6.35,-7.87,-0.05,0.18,-0.02,-56.00,0.00,20.00
379.00,-0.66,6.35,-7.89,-0.05,0.18,-0.02,-53.00,0.00,22.00
390.00,-0.66,6.35,-7.89,-0.05,0.18,-0.02,-53.00,0.00,22.00
402.00,-0.65,6.36,-7.87,-0.05,0.18,-0.02,-53.00,0.00,22.00
414.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
427.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
439.00,-0.65,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
450.00,-0.65,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
461.00,-0.66,6.36,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
473.00,-0.67,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
485.00,-0.67,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
496.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
508.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
520.00,-0.65,6.34,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
533.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
545.00,-0.64,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
557.00,-0.64,6.36,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
568.00,-0.64,6.36,-7.88,-0.05,0.18,-0.02,-53.00,0.00,22.00
581.00,-0.65,6.36,-7.86,-0.05,0.18,-0.02,-53.00,0.00,22.00
592.00,-0.65,6.35,-7.86,-0.05,0.18,-0.02,-53.00,0.00,22.00
604.00,-0.65,6.35,-7.86,-0.05,0.18,-0.02,-53.00,0.00,22.00
616.00,-0.65,6.35,-7.89,-0.05,0.18,-0.02,-56.00,0.00,22.00
629.00,-0.65,6.35,-7.89,-0.05,0.18,-0.02,-56.00,0.00,22.00
640.00,-0.65,6.34,-7.90,-0.05,0.18,-0.02,-56.00,0.00,22.00
652.00,-0.64,6.36,-7.88,-0.05,0.18,-0.02,-56.00,0.00,22.00
664.00,-0.64,6.36,-7.88,-0.05,0.18,-0.02,-56.00,0.00,22.00
677.00,-0.66,6.35,-7.89,-0.05,0.18,-0.02,-56.00,0.00,22.00
689.00,-0.66,6.35,-7.89,-0.05,0.18,-0.02,-56.00,0.00,22.00
700.00,-0.66,6.35,-7.88,-0.05,0.18,-0.02,-56.00,0.00,22.00
712.00,-0.66,6.36,-7.87,-0.05,0.18,-0.02,-56.00,0.00,22.00
723.00,-0.66,6.36,-7.87,-0.05,0.18,-0.02,-56.00,0.00,22.00
736.00,-0.64,6.36,-7.87,-0.05,0.18,-0.02,-53.00,0.00,20.00
747.00,-0.64,6.36,-7.87,-0.05,0.18,-0.02,-53.00,0.00,20.00
759.00,-0.65,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,20.00
771.00,-0.65,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,20.00
783.00,-0.65,6.37,-7.90,-0.05,0.18,-0.02,-53.00,0.00,20.00
794.00,-0.65,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,20.00
806.00,-0.65,6.35,-7.88,-0.05,0.18,-0.02,-53.00,0.00,20.00
818.00,-0.66,6.37,-7.85,-0.05,0.18,-0.02,-53.00,0.00,20.00
830.00,-0.66,6.37,-7.85,-0.05,0.18,-0.02,-53.00,0.00,20.00
842.00,-0.65,6.37,-7.85,-0.05,0.18,-0.02,-53.00,0.00,20.00
854.00,-0.65,6.36,-7.88,-0.05,0.18,-0.02,-53.00,0.00,20.00
866.00,-0.65,6.36,-7.88,-0.05,0.18,-0.02,-53.00,0.00,20.00
879.00,-0.65,6.35,-7.90,-0.05,0.18,-0.02,-53.00,2.00,20.00
891.00,-0.65,6.35,-7.90,-0.05,0.18,-0.02,-53.00,2.00,20.00
902.00,-0.64,6.37,-7.90,-0.05,0.18,-0.02,-53.00,2.00,20.00
