time,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,psi,theta,normAccel,normMag,normGyr
0.22,-0.22,6.55,-7.73,-0.27,-0.21,-0.12,-13.57,35.51,-19.57,-1.0,1.188667636539012,1.2439020215396965,0.0,0.0,0.0
0.232,-0.22,6.56,-7.73,-0.27,-0.22,-0.11,-13.57,35.51,-19.57,-1.0,1.2170823201183394,1.2435053444182245,10.134288332191856,42.756167976094396,20.76922613848535
0.244,-0.22,6.56,-7.73,-0.27,-0.22,-0.11,-13.57,35.51,-19.57,-1.0,1.2265578470861855,1.243373135808909,10.140754409806009,42.756167976094396,20.92669030428765
0.256,-0.22,6.55,-7.73,-0.26,-0.23,-0.1,-13.57,35.51,-19.57,-1.0,1.2170823201183394,1.2435053444182245,10.140754409806009,42.756167976094396,20.92669030428765
0.269,-0.21,6.56,-7.74,-0.26,-0.23,-0.09,-13.57,35.51,-19.57,-1.0,1.230393431820196,1.2319403037279386,10.134288332191856,42.756167976094396,20.697976439172322
0.281,-0.21,6.56,-7.74,-0.26,-0.23,-0.09,-13.57,35.51,-19.57,-1.0,1.2392583829322614,1.2242329719662877,10.148167322231142,42.756167976094396,20.54674905213743
0.293,-0.2,6.57,-7.73,-0.26,-0.21,-0.12,-13.57,35.51,-19.57,-1.0,1.2722270703626979,1.2106801835479786,10.148167322231142,42.756167976094396,20.54674905213743
0.306,-0.2,6.54,-7.72,-0.27,-0.2,-0.14,-13.57,35.51,-19.57,-1.0,1.281373765970369,1.2009170573162038,10.146812307320955,42.756167976094396,20.346053198015603
0.318,-0.2,6.54,-7.72,-0.27,-0.2,-0.14,-13.57,35.51,-19.57,-1.0,1.2884861516303892,1.193319829454083,10.119782606360673,42.756167976094396,20.855978552361336
0.33,-0.18,6.55,-7.77,-0.27,-0.19,-0.14,-12.62,37.35,-21.01,-1.0,0.9784107432081389,1.1754185766311593,10.119782606360673,42.756167976094396,20.855978552361336
0.342,-0.18,6.55,-7.77,-0.27,-0.19,-0.14,-12.62,37.35,-21.01,-1.0,0.7244165011318209,1.1607791131482799,10.164044470583548,44.67333656668147,20.54674905213743
0.355,-0.17,6.56,-7.73,-0.27,-0.19,-0.14,-12.62,37.35,-21.01,-1.0,0.5397904369476821,1.1441044625686487,10.164044470583548,44.67333656668147,20.54674905213743
0.367,-0.18,6.55,-7.7,-0.27,-0.19,-0.15,-12.62,37.35,-21.01,-1.0,0.38311652591352774,1.134592266688557,10.139792897293317,44.67333656668147,20.54674905213743
0.379,-0.18,6.55,-7.7,-0.27,-0.19,-0.15,-12.62,37.35,-21.01,-1.0,0.2487555817799104,1.1264353598721613,10.110633016779909,44.67333656668147,20.777127689518213
0.391,-0.21,6.57,-7.72,-0.27,-0.19,-0.15,-12.62,37.35,-21.01,-1.0,0.11618615004612806,1.130457546362436,10.110633016779909,44.67333656668147,20.777127689518213
0.404,-0.21,6.57,-7.72,-0.27,-0.19,-0.15,-12.62,37.35,-21.01,-1.0,0.0,1.133976851696815,10.139398404244702,44.67333656668147,20.777127689518213
0.41600000000000004,-0.21,6.57,-7.72,-0.27,-0.19,-0.14,-12.62,37.35,-21.01,-1.0,-0.10266272071711116,1.1370820373856532,10.139398404244702,44.67333656668147,20.777127689518213
